wordStem,wordFunction,value,pos
gebrechen,VAL,-0.3251,NOUN
gedränge,VAL,-0.0571,NOUN
gefahr,VAL,-1.0,NOUN
gefecht,VAL,-0.3373,NOUN
gefährdung,VAL,-0.0048,NOUN
gegner,VAL,-0.344,NOUN
geisteskrankheit,VAL,-0.0048,NOUN
geistlosigkeit,VAL,-0.0048,NOUN
geiz,VAL,-0.0048,NOUN
geizhals,VAL,-0.0048,NOUN
geizkragen,VAL,-0.0048,NOUN
geldstrafe,VAL,-0.3299,NOUN
geschmacklosigkeit,VAL,-0.0048,NOUN
geschäftsauflösung,VAL,-0.0048,NOUN
gestank,VAL,-0.0048,NOUN
gewalt,VAL,-0.5363,NOUN
gewalttätige,VAL,-0.0048,NOUN
gewalttätiger,VAL,-0.0048,NOUN
gift,VAL,-0.3505,NOUN
glanzlosigkeit,VAL,-0.0048,NOUN
gleichgültigkeit,VAL,-0.343,NOUN
glücklosigkeit,VAL,-0.0048,NOUN
gnadenlosigkeit,VAL,-0.0048,NOUN
grausamkeit,VAL,-0.3348,NOUN
groll,VAL,-0.6021,NOUN
groteske,VAL,-0.0048,NOUN
habgier,VAL,-0.0532,NOUN
haft,VAL,-0.0048,NOUN
handgemenge,VAL,-0.3174,NOUN
handicap,VAL,-0.0426,NOUN
handikap,VAL,-0.0426,NOUN
hass,VAL,-0.5014,NOUN
heimsuchung,VAL,-0.0048,NOUN
hektik,VAL,-0.0048,NOUN
hemmung,VAL,-0.0048,NOUN
herausforderung,VAL,-0.0048,NOUN
heuchelei,VAL,-0.0048,NOUN
heuchler,VAL,-0.3251,NOUN
hilflosigkeit,VAL,-0.3394,NOUN
hindernis,VAL,-0.0048,NOUN
hinterhalt,VAL,-0.0048,NOUN
hinterlist,VAL,-0.0048,NOUN
hohn,VAL,-0.0048,NOUN
horror,VAL,-0.0509,NOUN
hunger,VAL,-0.3531,NOUN
hungersnot,VAL,-0.4739,NOUN
hungertod,VAL,-0.0048,NOUN
hysterie,VAL,-0.3386,NOUN
härte,VAL,-0.0446,NOUN
hölle,VAL,-0.5052,NOUN
idiot,VAL,-0.0048,NOUN
illegalität,VAL,-0.0048,NOUN
immobilität,VAL,-0.0048,NOUN
ineffizienz,VAL,-0.0048,NOUN
infektion,VAL,-0.2059,NOUN
infiltration,VAL,-0.0048,NOUN
inflation,VAL,-0.3462,NOUN
inkompetenz,VAL,-0.0048,NOUN
inkonsequenz,VAL,-0.0455,NOUN
inkonsistenz,VAL,-0.3097,NOUN
instabilität,VAL,-0.3358,NOUN
intervention,VAL,-0.1975,NOUN
invasion,VAL,-0.0048,NOUN
isolation,VAL,-0.3453,NOUN
jammer,VAL,-0.4613,NOUN
jähzorn,VAL,-0.0048,NOUN
kampf,VAL,-0.5372,NOUN
kapitalverbrechen,VAL,-0.0048,NOUN
kapitulation,VAL,-0.0048,NOUN
katastrophe,VAL,-0.5027,NOUN
keim,VAL,-0.0048,NOUN
klage,VAL,-0.0048,NOUN
klischee,VAL,-0.48,NOUN
kläger,VAL,-0.3673,NOUN
knappheit,VAL,-0.0048,NOUN
kollaps,VAL,-0.0048,NOUN
kollision,VAL,-0.3323,NOUN
komplikation,VAL,-0.0048,NOUN
konflikt,VAL,-0.0048,NOUN
konfrontation,VAL,-0.0048,NOUN
konjunkturrückgang,VAL,-0.0048,NOUN
konkurrenz,VAL,-0.0461,NOUN
konkurrenzkampf,VAL,-0.0494,NOUN
konkurs,VAL,-0.0048,NOUN
kontroverse,VAL,-0.3329,NOUN
kopfschmerz,VAL,-0.1993,NOUN
korruption,VAL,-0.3439,NOUN
kostspieligkeit,VAL,-0.0048,NOUN
krach,VAL,-0.0048,NOUN
krachen,VAL,-0.0048,NOUN
krankheit,VAL,-0.6858,NOUN
krieg,VAL,-0.5364,NOUN
kriminalität,VAL,-0.0048,NOUN
krise,VAL,-0.3621,NOUN
kritik,VAL,-0.5308,NOUN
kritiker,VAL,-0.6494,NOUN
kränkung,VAL,-0.0048,NOUN
krüppel,VAL,-0.3203,NOUN
kurseinbruch,VAL,-0.0048,NOUN
kälte,VAL,-0.0048,NOUN
kündigung,VAL,-0.0048,NOUN
kürzung,VAL,-0.341,NOUN
langeweile,VAL,-0.0377,NOUN
langweiler,VAL,-0.0443,NOUN
last,VAL,-0.0048,NOUN
launenhaftigkeit,VAL,-0.0048,NOUN
lebensgefahr,VAL,-0.0048,NOUN
leblosigkeit,VAL,-0.0048,NOUN
leere,VAL,-0.0048,NOUN
leichtsinn,VAL,-0.3253,NOUN
leichtsinnsfehler,VAL,-0.0371,NOUN
leid,VAL,-0.5056,NOUN
leidende,VAL,-0.0048,NOUN
liquidation,VAL,-0.0048,NOUN
lähmung,VAL,-0.0048,NOUN
löschung,VAL,-0.0048,NOUN
